attack,desc,health,mana,name,rarity
3,"right"">내 영웅이 치유될 때마다 무작위 적 하수인 하나에게 그만큼<br/>피해를 줍니다.</",9,6,검은경비병,4
3,"right""><b>생명력 흡수</b></",3,3,고뇌의 수행사제,1
4,"right"">이 하수인은 주문이나 영웅 능력의 대상으로 지정되지 않습니다.</",3,3,곰상어,1
4,"right""><b>전투의 함성:</b> 내 덱에 비용이 4인 카드가 없으면, <b>생명력 흡수</b>와 <b>도발</b>을 얻습니다.</",4,4,공작 발라나르,5
2,"right""><b>전투의 함성:</b> 내 덱에 비용이<br/>2인 카드가 없으면, 내 덱에<br/>있는 모든 하수인에게<br/>+1/+1을 부여합니다.</",2,2,공작 켈레세스,5
3,"right""><b>전투의 함성:</b> 내 덱에<br/>비용이 3인 카드가 없으면,<br/>선택한 하수인으로 변신합니다.<br/>능력치는 3/3이 됩니다.</",3,3,공작 탈다람,5
5,"right"">내 다른 하수인이 죽을<br/>때마다 2/2 구울을<br/>하나 소환합니다.</",3,6,괴저 외눈깨비,1
5,"right"">내가 <b>비밀</b> 카드를 낸 후에, 무작위 사냥꾼 <b>비밀</b> 카드 1장을 사용합니다.</",4,4,교수 퓨트리사이드,5
2,"right""><b>전투의 함성:</b><br/>내 덱에서 하수인을<br/>하나 <b>발견</b>합니다.</",2,3,기워 붙인 추적자,1
5,"right"">주문의 비용이 (2) 증가합니다.</",5,6,네루비안 해결자,4
2,"right""><b>전투의 함성:</b><br/>상대편의 다음 카드 1장을 없앱니다.</",3,2,노움페라투,4
6,"right""><b>죽음의 메아리:</b> 이번 게임에서 죽은 무작위 아군 야수 1마리를 소환합니다.</",7,7,누더기골렘 궁병,4
8,"right"">이번 게임에서 <b>과부하</b>된 내 마나 수정 하나당 비용이 (1)씩 감소합니다.</",8,11,눈덩이 거인,4
1,"right""> </",1,0,눈발바닥 펭귄,1
4,"right""><b>전투의 함성:</b> 상대편의 덱을 복사하여 내 덱에 섞어 넣습니다.</",6,7,대주교 베네딕투스,5
1,"right"">턴이 끝날 때 발동하는 내 효과가 2번 발동합니다.</",5,3,드라카리 마법부여사,4
2,"right""><b>도발</b><br/><b>과부하</b>: (3)</",8,3,드라카리 수호병,1
5,"right"">내 턴 동안 내 무기의 내구도가 감소하지 않습니다.</",3,4,룬가열로 외눈깨비,3
8,"right""><b>도발</b><br/>내 턴이 끝날 때, 무작위<br/><b>죽음의 기사</b> 카드 1장을 내 손으로 가져옵니다.</",8,8,리치 왕,5
4,"right""><b>전투의 함성:</b><br/>내 손에 있는 모든 주문을 <",5,4,릴리안 보스,5
2,"right""><b>독성</b></",5,5,맹독술사,1
2,"right""><b>죽음의 메아리:</b> 무작위 <b>죽음의 기사</b> 카드 하나를 내 손으로 가져옵니다.</",2,4,멍서스,5
5,"right""><b>전투의 함성:</b> 이번 게임에서 죽은 무작위 <b>죽음의 메아리</b> 하수인 하나를 내 손으로 가져옵니다.</",3,5,무덤 잠복꾼,4
4,"right"">내 무기가 파괴될 때마다 +1/+1을 얻습니다.</",4,4,무덤괴물,1
4,"right"">다른 하수인 하나가 <b>빙결</b> 상태가 될 때마다 그 카드를 복사하여 내 손으로 가져옵니다.</",4,6,무라비,5
1,"right""><b>선택 ",2,2,무리의 드루이드,3
1,"right"">이 하수인은 피해를 받고 생존할 때마다 2/2 구울을 하나 소환합니다.</",4,3,발키르 영혼강탈자,3
3,"right"">이 하수인은<br/>피해를 받을 때마다 공격력을 +2 얻습니다.</",4,4,밤의 울음꾼,1
2,"right""><b>도발</b><br/>이 하수인에게 피해를<br/>받은 캐릭터는 <b>빙결</b><br/>상태가 됩니다.</",7,5,부두교 사술사,3
1,"right""><b>천상의 보호막</b><br/>아군 하수인 하나가<br/><b>천상의 보호막</b>을 잃은 후에,<br/>공격력을 +2 얻습니다.</",7,5,불꽃피 볼바르,5
3,"right""><b>죽음의 메아리:</b><br/>상대편의 턴이면,<br/>2/2 구울을 하나 소환합니다.</",1,3,브리구울,1
5,"right""><b>죽음의 메아리:</b><br/>1/1 해골 둘을<br/>내 손으로 가져옵니다.</",5,5,뼈다귀 남작,1
2,"right""><b>도발</b>, <b>전투의 함성:</b><br/>이 하수인을 복사하여 소환합니다.</",3,4,사로나이트 광산 노예,3
