,Unnamed: 0,attack,health,mana,name,rarity,desc_cut,격노,과부하,도발,독성,돌진,생명력흡수,선택,연계,은신,적응,주문공격력,질풍,천상의보호막,침묵
0,0,3,2,2,거만한 연기자,1,도발,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,3,6,6,고룡 독서가,3,"전투의 함성: 내 손에 용족이 있으면, 공격력이 3 이하인 적 하수인 하나를 처치합니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,5,공작 말체자르,5,"게임이 시작될 때, 무작위 전설 하수인 다섯을 내 덱에 섞어 넣습니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,1,1,나불대는 책,3,전투의 함성: 무작위 마법사 주문 하나를 내 손으로 가져옵니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,3,3,동물원로봇,1,"전투의 함성: 무작위 아군야수, 용족, 멀록 하나에게각각 +1+1을 부여합니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,2,1,룬이 새겨진 알,1,죽음의 메아리:카드를 1장 뽑습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2,2,1,마력 깃든 까마귀,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,3,6,4,만찬의 사제,1,내가 주문을 시전할 때마다내 영웅의 생명력을3 회복시킵니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,3,1,말체자르의 임프,1,내가 카드를 버릴 때마다 카드를 1장 뽑습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,3,4,3,망토 두른 여사냥꾼,1,내 비밀의 비용이(0)이 됩니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,2,3,2,메디브의 하인,1,"전투의 함성: 내 영웅에게 비밀이 걸려 있으면, 피해를 3 줍니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,1,1,3,모로스,5,"은신내 턴이 끝날 때,11 급사를 1명 소환합니다.",0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,12,5,5,6,박물관 감시자,1,전투의 함성: 아군 야수 1마리를 선택합니다. 그 야수를 복사하여 소환합니다.,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,13,4,4,5,박물관 마술사,1,"전투의 함성: 무작위 아군야수, 용족, 멀록 하나에게각각 +2+2를 부여합니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,3,4,4,반즈,5,전투의 함성: 내 덱에서 무작위 하수인 하나를 복사하여11 하수인으로 소환합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,4,3,3,보랏빛 환영술사,1,내 턴 동안 내 영웅이면역 상태가 됩니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,3,6,5,부엉이 파수꾼,3,"전투의 함성: 내 영웅에게 비밀이 걸려 있으면, +1+1과 도발을 얻습니다.",0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,17,8,8,12,비전 거인,4,이번 게임에서 내가 시전한 주문 하나당 비용이 (1)씩 감소합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,2,1,1,비전 변형물,1,내가 주문을 시전할 때마다 이 하수인이 생명력을 +1 얻습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,3,2,4,비전장인,1,전투의 함성:05 도발 하수인을하나 소환합니다.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,20,3,4,4,사악한 마녀,1,내가 주문을 시전할 때마다 무작위 기본 토템을 하나 소환합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,4,4,6,상아색 나이트,3,전투의 함성: 주문을 하나 발견합니다. 그 카드의 비용만큼 내 영웅의 생명력을 회복시킵니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,7,7,8,수호자 메디브,5,전투의 함성: 아티쉬 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,3,3,3,식기 골렘,3,"이 하수인을 버리면,이 하수인을 소환합니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,1,3,3,식당 거미,1,전투의 함성: 13 거미를 1마리 소환합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,5,6,5,에테리얼 행상인,3,"전투의 함성: 내 손에 도적카드가 아닌 직업 카드가있으면, 그 카드들의 비용을(2) 감소시킵니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,1,1,2,인자한 할머니,1,죽음의 메아리: 32 커다란 나쁜 늑대를 1마리 소환합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,4,6,7,전시 관리인,5,"도발전투의 함성: 내 덱에서 야수, 용족, 멀록을 하나씩 뽑습니다.",0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,28,3,2,3,치명적인 포크,1,죽음의 메아리: 32 무기를 내 손으로 가져옵니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,3,4,5,칠흑색 비숍,3,전투의 함성: 이번 게임에서 죽은 아군 하수인 하나를 무작위로 소환합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,1,1,1,칼잡이 강도,1,전투의 함성: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,2,3,3,파멸의 어둠 기사단원,1,"전투의 함성: 내 손에 용족이 있으면, 11 새끼용을 둘 소환합니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,3,3,6,해자 잠복꾼,3,전투의 함성: 하수인하나를 처치합니다.죽음의 메아리: 그 하수인을다시 소환합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,1,3,2,황천의 원령 역사가,1,"전투의 함성: 내 손에 용족이 있으면, 용족을 하나 발견합니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
