attack,desc,health,mana,name,rarity
3,"right""><b>연계:</b> 피해를 2 줍니다.</",3,3,SI:7 요원,3
5,"right""><b>은신</b></",5,5,가시덤불 호랑이,1
2,"right""><b>전투의 함성:</b><br/>1/1 멧돼지를<br/>1마리 소환합니다.</",3,3,가시덩굴 사냥꾼,2
4,"right"">내가 주문을 시전할 때마다 카드를 1장 뽑습니다.</",4,6,가젯잔 경매인,3
1,"right""><b>전투의 함성:</b> 이번 턴에 하수인 하나에게 공격력을 +2 부여합니다.</",1,1,가혹한 하사관,1
2,"right"">하수인이 피해를 받을 때마다 공격력을<br/>+1 얻습니다.</",4,3,거품 무는 광전사,3
1,"right"">내 턴이 끝날 때,<br/>다른 무작위 아군 하수인 하나에게 공격력을 +1 부여합니다.</",3,2,검 제작의 대가,3
4,"right""><b>전투의 함성:</b> 이번 턴에 하수인 하나에게 공격력을 +2 부여합니다.</",4,4,검은무쇠 드워프,1
4,"right"">이 하수인은 적을<br/>공격할 수 없습니다.</",5,2,고대의 감시자,3
2,"right""><b>전투의 함성:</b><br/>양옆의 하수인들에게 <b>주문 공격력 +1</b>을 부여합니다.</",5,4,고대의 마법사,3
5,"right""><b>전투의 함성:</b> 전장의 아군 하수인 하나를 내 손으로 다시 가져옵니다.</",4,4,고대의 양조사,1
1,"right"">이 하수인이 피해를<br/>받을 때마다 카드를<br/>1장 뽑습니다.</",3,3,고통의 수행사제,1
2,"right"">내 다른 하수인들이 공격력을 +1 얻습니다.</",2,3,공격대장,2
6,"right""><b>전투의 함성:</b><br/>다른 <b>모든</b> 캐릭터에게 피해를 1 줍니다.</",6,6,공포의 지옥불정령,2
3,"right""><b>도발</b><br/>내 무기의 공격력만큼<br/>비용이 감소합니다.</",3,4,공포의 해적,1
1,"right""><b>도발</b></",3,1,공허방랑자,2
3,"right""><b>전투의 함성:</b> 이 하수인 양옆에 있는 하수인들을 처치하고 그들의 공격력과 생명력을 얻습니다.</",3,3,공허의 괴물,3
2,"right""><b>전투의 함성:</b> 하수인 하나의 공격력과 생명력을 바꿉니다.</",2,2,광기의 연금술사,3
3,"right"">내 주문이 시전된 후에, <b>모든</b> 하수인에게<br/>피해를 1 줍니다.</",2,2,광기의 화염술사,3
2,"right"">양옆의 하수인들이 공격력을 +1 얻습니다.</",2,2,광포한 늑대 우두머리,1
9,"right""><b>죽음의 메아리:</b> 상대편에게 3/3 핑클 아인혼을 소환해 줍니다.</",7,6,괴수,5
2,"right"">이 하수인은 피해를<br/>받을 때마다 공격력을<br/>+3 얻습니다.</",7,5,구루바시 광전사,2
3,"right""><b>전투의 함성:</b> 내 영웅을 군주 자락서스로 교체합니다.</",15,9,군주 자락서스,5
1,"right""><b>전투의 함성:</b> 멀록 1마리를 처치하고 +2/+2를 얻습니다.</",2,1,굶주린 게,4
3,"right"">내가 야수를 소환할 때마다<br/>카드를 1장 뽑습니다.</",2,5,굶주린 대머리수리,2
2,"right"">하수인이 죽을 때마다 공격력을 +1 얻습니다.</",3,3,굶주린 식인 구울,1
4,"right""><b>돌진</b><br/><b>격노:</b> 공격력 +6</",9,8,그롬마쉬 헬스크림,5
7,"right"">각 턴이 끝날 때, +1/+1을 얻습니다.</",7,8,그룰,5
2,"right""><b>전투의 함성:</b><br/>2/1 소형 기계용을<br/>1마리 소환합니다.</",4,4,기계용 정비사,2
4,"right""><b>전투의 함성:</b> 공격력이<br/>7 이상인 하수인을<br/>하나 처치합니다.</",2,5,나 이런 사냥꾼이야,4
3,"right""><b>전투의 함성:</b> 공격력이 2 이하인 무작위 적 하수인 하나를 처치합니다.</",5,5,날뛰는 코도,3
7,"right"">내 턴이 끝날 때,<br/>다른 <b>모든</b> 캐릭터에게 피해를 2 줍니다.</",5,7,남작 게돈,5
2,"right"">내 영웅이 무기를 장착하고 있을 때<br/><b>돌진</b>을 얻습니다.</",1,1,남쪽바다 갑판원,2
3,"right"">내 다른 해적들이 +1/+1을 얻습니다.</",3,3,남쪽바다 선장,4
5,"right""><b>연계:</b> 하수인 하나를 주인의 손으로 돌려보냅니다.</",3,6,납치범,4
0,"right"">내 턴이 시작될 때, 50",4,2,내트 페이글,5
5,"right""><b>전투의 함성:</b><br/>캐릭터 하나를 <b>빙결</b> 상태로 만듭니다.</",5,6,냉기 정령,1
2,"right""><b>전투의 함성:</b><br/>카드를 1장 뽑습니다.</",4,4,노움 발명가,2
0,"right"">내 턴이 시작될 때, 이 하수인이 내 손에 있는 무작위 하수인 하나와 교체됩니다.</",3,3,노움 자동경보기,3
8,"right"">플레이어들의 턴 제한 시간이 15초로 감소합니다.</",8,9,노즈도르무,5
4,"right""><b>도발</b><br/><b>죽음의 메아리:</b><br/><b>모든</b> 캐릭터에게<br/>피해를 2 줍니다.</",4,5,누더기골렘,3
3,"right""><b>돌진</b></",1,3,늑대기수,2
2,"right""><b>은신</b></",1,1,늑대인간 침투요원,1
2,"right"">내 하수인이 소환된 후에, 무작위 적 하나에게 피해를 1 줍니다.</",2,2,단검 곡예사,3
1,"right""><b>주문 공격력 +1</b></",4,3,달라란 마법사,2
4,"right""><b>주문 공격력 +1</b></",7,6,대마법사,2
5,"right"">내가 주문을 시전할 때마다<br/>'화염구' 카드 1장을<br/>내 손으로 가져옵니다.</",7,7,대마법사 안토니다스,5
3,"right""><b>전투의 함성:</b><br/>생명력을 3 회복시킵니다.</",3,3,대지 고리회 선견자,2
7,"right""><b>도발</b><br/><b>과부하</b>: (3)</",8,5,대지의 정령,4
12,"right""><b>전투의 함성:</b> 전장의 다른<br/><b>모든</b> 하수인을 처치하고<br/>내 손에 있는 카드를<br/>모두 버립니다.</",12,10,데스윙,5
2,"right""><b>연계:</b> 2/1 데피아즈단 무법자를 1명 소환합니다.</",2,2,데피아즈단 두목,1
1,"right""><b>돌진</b></",1,1,돌엄니멧돼지,2
6,"right""> </",7,6,돌주먹 오우거,2
4,"right"">내 턴이 끝날 때, <b>도발</b> 능력이 있는 2/2 놀을 1마리 소환합니다.</",4,6,들창코,5
7,"right""><b>은신</b></",5,7,라벤홀트 암살자,3
6,"right""><b>돌진</b><br/><b>전투의 함성:</b> 상대편에게 1/1 새끼용을 둘 소환해 줍니다.</",2,5,리로이 젠킨스,5
