attack,desc,health,mana,name,rarity
2,"right""><b>전투의 함성:</b><br/>생명력을 2 회복시킵니다.</",2,2,가젯잔 귀부인,1
2,"right""><b>연계:</b> 아군 하수인 하나를<br/>내 손으로 다시 가져옵니다.</",3,2,가젯잔 뱃사공,3
6,"right""><b>전투의 함성:</b><br/>상대편의 손에 카드가 6장 이상 있으면, <b>돌진</b>을 얻습니다.</",6,6,가죽옷의 멧돼지단 두목,4
3,"right""><b>죽음의 메아리:</b> 내 손에 있는 무작위 하수인 하나에게 +2/+2를 부여합니다.</",3,3,겁먹은 조직원,1
1,"right""><b>죽음의 메아리:</b> 이 하수인의 공격력만큼 모든 적 하수인에게 피해를 줍니다.</",1,3,경관 샐리,5
3,"right"">내 주문이 시전된 후에,<br/>내 영웅 능력을 다시<br/>사용할 수 있습니다.</",4,3,경매장 지배인 비어도,5
4,"right""><b>도발</b></",3,3,고용된 싸움꾼,1
0,"right""><b>도발</b></",7,2,관선 변호인,1
4,"right""><b>전투의 함성:</b> 하수인 하나의 공격력과 생명력을 바꿉니다.</",4,4,괴상한 약제사,1
4,"right""><b>전투의 함성:</b> <b>은신</b>한 하수인 하나에게 +2/+2를 부여합니다.</",4,4,그림자 사부,3
0,"right""><b>주문 공격력 +1</b></",7,3,길거리 요술쟁이,1
1,"right""><b>전투의 함성:</b><br/>1/1 고양이를 1마리 소환합니다.</",1,1,길고양이,1
3,"right""><b>도발</b></",8,6,꽃의 고대정령,1
5,"right""><b>전투의 함성:</b><br/>내 무기에 공격력을<br/>+1 부여합니다.</",4,4,나가 바다약탈자,1
6,"right""><b>전투의 함성:</b><br/>다른 <b>모든</b> 캐릭터에게 피해를 3 줍니다.</",6,7,난폭한 심연불정령,1
5,"right""><b>전투의 함성:</b><br/><b>빙결</b> 상태인 적이 있으면,<br/>+2/+2를 얻습니다.</",5,5,냉기술사,1
6,"right""> </",3,4,늑대인간 폭주족,1
3,"right"">상대편이 카드를 뽑을 때마다 +1/+1을 얻습니다.</",3,4,대담한 기자,1
4,"right""><b>도발</b><br/>상대편에게 하수인이<br/>셋 이상 있으면, 비용이<br/>(2) 감소합니다.</",5,5,덜떨어진 투사,3
5,"right""><b>전투의 함성:</b><br/><b>죽음의 메아리</b> 하수인<br/>하나를 <b>침묵</b>시킵니다.</",7,6,데피아즈단 청부업자,4
2,"right""><b>전투의 함성:</b><br/>피해를 1 줍니다.</",1,2,독침아가미 저격수,1
5,"right"">내가 하수인을 소환할 때마다 내 영웅에게 피해를 5 줍니다.</",5,3,돌팔이 연금술사,4
5,"right""><b>전투의 함성:</b> 내 손에 있는 무작위 하수인 하나에게 +5/+5를 부여합니다.</",6,7,두목 한초,5
2,"right""><b>도발</b>, 이 하수인은 피해를 줄 때마다 그만큼 내 방어도를 증가시킵니다.</",7,5,뒷골목 방어구 제작자,3
3,"right""><b>죽음의 메아리:</b><br/>적 영웅에게<br/>피해를 2 줍니다.</",1,3,뒷골목 오염된 노움,1
1,"right""><b>죽음의 메아리:</b><br/>이 하수인을 상대편의 덱에<br/>섞어 넣습니다.</",1,1,땅굴 족제비,4
4,"right""><b>전투의 함성:</b><br/>적 하수인들이<br/><b>은신</b>을 잃습니다.</",6,5,뛰어난 수사관,1
4,"right""><b>도발</b>, <b>전투의 함성:</b> 용족이 아닌 카드를 뽑을 때까지 카드를 뽑습니다.</",5,6,래시온,5
2,"right"">이 하수인이 치유될<br/>때마다 2/2 수정을<br/>하나 소환합니다.</",3,2,마나 정동석,4
4,"right""><b>전투의 함성:</b> 아군 하수인<br/>하나를 선택합니다. 그 하수인을<br/>내 덱의 무작위 하수인<br/>하나와 교체합니다.</",3,6,마님 고야,5
5,"right""><b>전투의 함성:</b><br/>적에게 <b>도발</b> 능력이<br/>있는 하수인이 있으면,<br/><b>돌진</b>을 얻습니다.</",5,5,멧돼지단 돌격수,3
5,"right""><b>전투의 함성:</b> 내 덱에 똑같은 카드가 하나도 없다면, 이번 턴에 내가 시전하는 다음 주문의 비용이 (0)이 됩니다.</",5,7,문신사 솔리아,5
4,"right""><b>전투의 함성:</b> 이번 턴에 내가 내는 다음 멀록은 마나 대신 생명력을 비용으로 사용합니다.</",2,4,바다아귀 쐐기술사,3
5,"right""><b>도발</b>, <b>죽음의 메아리:</b> '폭풍수호자' 카드 1장을 내 덱에 섞어 넣습니다.</",5,5,백안,5
1,"right""><b>전투의 함성:</b><br/>6/6 오우거를<br/>하나 소환합니다.</",1,6,범죄계 거물,1
5,"right""><b>전투의 함성:</b> 내 무기의 공격력이 3 이상이면, +4/+4를 얻습니다.</",5,6,복덩이 찾는 해적단원,4
